# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
13533,N8W0A7,ON,V4W2Z6,BC,260,$464.12 ,90630,CA,869,$103.12 ,$361 
10114,N8W0A7,ON,S6V6K1,SK,181,$462.92 ,54942,WI,298,$102.92 ,$360 
14101,N8W0A7,ON,V6P6M9,BC,540,$463.44 ,90630,CA,879,$103.44 ,$360 
13227,N8W0A7,ON,V2X8G1,BC,320,$463.43 ,90630,CA,864,$103.43 ,$360 
13659,N8W0A7,ON,V2X8G1,BC,661,$463.46 ,90630,CA,864,$103.46 ,$360 
13421,N8W0A7,ON,V2X8G1,BC,200,$462.48 ,90630,CA,864,$103.48 ,$359 
9748,N8W0A7,ON,S4P0W5,SK,123,$462.56 ,54942,WI,308,$103.56 ,$359 
13408,N8W0A7,ON,V3K6Y7,BC,362,$462.48 ,90630,CA,869,$103.48 ,$359 
13911,N8W0A7,ON,V2X8G1,BC,340,$461.16 ,90630,CA,864,$103.16 ,$358 
13299,N8W0A7,ON,V5A2X4,BC,650,$461.58 ,90630,CA,871,$103.58 ,$358 
13922,N8W0A7,ON,V5A1S8,BC,269,$461.17 ,90630,CA,870,$103.17 ,$358 
13677,N8W0A7,ON,V5A2X4,BC,424,$461.77 ,90630,CA,871,$103.77 ,$358 
13839,N8W0A7,ON,V6V0A3,BC,146,$461.77 ,90630,CA,880,$103.77 ,$358 
13128,N8W0A7,ON,V4N0E8,BC,183,$460.04 ,90630,CA,871,$103.04 ,$357 
11913,N8W0A7,ON,V2T6G7,BC,185,$460.79 ,90630,CA,865,$103.79 ,$357 
11386,N8W0A7,ON,T0M2A0,AB,80,$459.49 ,54942,WI,309,$103.49 ,$356 
10393,N8W0A7,ON,S4P0H6,SK,182,$458.27 ,54942,WI,308,$103.27 ,$355 
12317,N8W0A7,ON,S4P1J4,SK,158,$456.69 ,54942,WI,308,$103.69 ,$353 
13869,N8W0A7,ON,V4N0E8,BC,141,$455.04 ,90630,CA,871,$103.04 ,$352 
14090,N8W0A7,ON,V3M6V5,BC,177,$454.74 ,90630,CA,877,$103.74 ,$351 
13816,N8W0A7,ON,V4W0C7,BC,214,$454.19 ,90630,CA,865,$103.19 ,$351 
13751,N8W0A7,ON,V4K3E1,BC,80,$454.74 ,90630,CA,886,$103.74 ,$351 
13552,N8W0A7,ON,S7K3J7,SK,255,$452.86 ,54942,WI,304,$102.86 ,$350 
10179,N8W0A7,ON,R0C0A0,MB,105,$451.60 ,54942,WI,289,$103.60 ,$348 
14067,N8W0A7,ON,V5G4V8,BC,310,$450.35 ,90630,CA,873,$103.35 ,$347 
13628,N8W0A7,ON,V3B0M2,BC,209,$450.35 ,90630,CA,861,$103.35 ,$347 
13655,N8W0A7,ON,V7J1E4,BC,134,$449.75 ,90630,CA,870,$103.75 ,$346 
13859,N8W0A7,ON,V2X8G1,BC,686,$448.76 ,90630,CA,864,$103.76 ,$345 
13503,N8W0A7,ON,R3C0L5,MB,190,$446.84 ,54942,WI,297,$102.84 ,$344 
7863,N8W0A7,ON,V2W1E7,BC,63,$444.84 ,90630,CA,858,$102.84 ,$342 
13455,N8W0A7,ON,T2C4C3,AB,211,$445.50 ,90630,CA,377,$103.50 ,$342 
14074,N8W0A7,ON,S4P3Y3,SK,167,$440.78 ,54942,WI,308,$103.78 ,$337 
11186,N8W0A7,ON,V2X8G1,BC,303,$439.98 ,90630,CA,864,$102.98 ,$337 
14013,N8W0A7,ON,S7M0W8,SK,258,$439.85 ,54942,WI,304,$102.85 ,$337 
