sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
41048,KY,42,CO80129,1521,$811.73 ,3
41048,KY,7,FL33025,4893,"$2,049.86 ",3
53142,WI,33,TN37013,2752,$769.27 ,3
53142,WI,24,TN37013,6789,"$1,429.32 ",3
53142,WI,48,FL33025,4829,"$2,594.89 ",3
53142,WI,47,FL33025,1379,"$1,183.01 ",3
53142,WI,26,TX78521,1366,"$1,089.10 ",3
41048,KY,31,CA92503,3811,"$2,193.85 ",3
41048,KY,26,CA92154,630,$968.91 ,3
53142,WI,43,TX78521,2036,"$1,133.87 ",3
41048,KY,23,CA90058,270,$837.87 ,3
53142,WI,26,FL33025,3130,"$2,622.08 ",3
53142,WI,24,FL33025,3025,"$2,412.79 ",3
53142,WI,19,FL33025,4705,"$3,273.10 ",3
53142,WI,18,FL33025,2943,"$2,361.57 ",3
53142,WI,15,FL33025,2526,"$2,142.95 ",3
53142,WI,11,FL33025,4739,"$3,471.66 ",3
53142,WI,10,FL33025,4900,"$4,439.30 ",3
41048,KY,52,FL33025,7009,"$2,631.05 ",3
41048,KY,38,CA94080,1781,"$1,495.39 ",3
41048,KY,46,CA92653,1940,"$2,095.37 ",3
41048,KY,7,CA92653,949,"$1,035.18 ",3
41048,KY,16,NJ8401,1350,"$1,314.44 ",3
41048,KY,29,MN56031,893,$364.73 ,3
41048,KY,8,GA30349,1089,$415.87 ,3
41048,KY,39,IL60642,2911,$639.22 ,3
41048,KY,4,OH44460,3303,$524.61 ,3
41048,KY,47,OH44145,2238,$387.23 ,3
41048,KY,9,OH44145,4027,$665.93 ,3
41048,KY,51,OH44460,5449,$698.56 ,3
41048,KY,50,OH44460,2756,$481.36 ,3
41048,KY,49,OH44460,3331,$543.13 ,3
41048,KY,47,OH44460,2487,$451.37 ,3
41048,KY,41,OH44460,1539,$339.78 ,3
41048,KY,32,GA30005,1698,$443.48 ,3
41048,KY,1,WI53209,822,$335.14 ,3
53142,WI,7,FL33025,5935,"$4,460.53 ",3
53142,WI,6,FL33025,6713,"$4,345.03 ",3
41048,KY,44,AZ85338,1217,"$1,146.06 ",3
41048,KY,41,AZ85338,1438,$947.10 ,3
41048,KY,31,AZ85338,830,$751.49 ,3
41048,KY,30,AZ85338,3805,"$1,651.47 ",3
53142,WI,19,KY41048,2352,$600.86 ,3
53142,WI,11,KY41048,3230,$603.22 ,3
53142,WI,7,KY41048,2764,$494.64 ,3
53142,WI,6,KY41048,4918,"$1,198.32 ",3
78501,TX,8,KY41048,10666,"$3,296.95 ",3
41048,KY,14,MI49423,3513,$822.02 ,3
41048,KY,35,MN55437,2536,$901.50 ,3
41048,KY,32,MN55379,871,$393.00 ,3
41048,KY,44,MN55344,353,$309.60 ,3
41048,KY,26,MN55344,512,$419.50 ,3
41048,KY,28,OH43125,1997,$353.60 ,3
41048,KY,13,NY13413,3894,$918.33 ,3
17601,PA,37,KY41048,1946,$578.02 ,3
17601,PA,28,KY41048,2951,$618.11 ,3
41048,KY,12,AZ85338,2573,"$1,409.27 ",3
41048,KY,50,AZ85284,2781,"$1,391.26 ",3
41048,KY,23,AZ85284,4683,"$3,303.12 ",3
41048,KY,30,CA91020,730,"$1,311.61 ",3
78501,TX,17,KY41048,4592,"$1,829.57 ",3
41048,KY,50,IN46738,845,$308.40 ,3
41048,KY,52,KY41048,1495,$285.71 ,3
41048,KY,51,KY41048,2892,$314.00 ,3
41048,KY,50,KY41048,3514,$361.69 ,3
41048,KY,45,KY41048,3101,$323.03 ,3
41048,KY,40,KY41048,1187,$275.49 ,3
41048,KY,27,KY41048,1040,$275.10 ,3
41048,KY,50,MI48084,2706,$484.15 ,3
41048,KY,35,MI49512,466,$312.00 ,3
41048,KY,28,AZ85338,2830,"$1,414.03 ",3
78501,TX,9,TX78521,9070,$710.54 ,3
78501,TX,8,TX78521,2842,$368.01 ,3
78501,TX,7,TX78521,4161,$430.77 ,3
78501,TX,4,TX78521,6446,$603.75 ,3
41048,KY,32,IN46738,1074,$353.73 ,3
41048,KY,31,IN46738,673,$314.40 ,3
41048,KY,25,IN46738,5919,$779.05 ,3
41048,KY,52,IL60642,2205,$536.66 ,3
41048,KY,51,IL60642,1808,$479.94 ,3
41048,KY,50,IL60642,1374,$429.90 ,3
41048,KY,46,IL60642,1657,$435.10 ,3
41048,KY,31,MD21224,1554,$621.22 ,3
41048,KY,12,IN46818,1531,$359.72 ,3
41048,KY,11,IN46818,2164,$382.00 ,3
78501,TX,4,KY41048,2499,"$1,073.40 ",3
54942,WI,50,TX78521,2586,"$1,678.42 ",3
54942,WI,46,TX78521,3690,"$2,305.67 ",3
54942,WI,36,TX78521,4967,"$2,883.22 ",3
54942,WI,28,TX78521,3295,"$2,615.66 ",3
78501,TX,3,TX78521,7018,$554.39 ,3
78501,TX,13,TX78045,2812,$514.57 ,3
78501,TX,47,KY41048,11040,"$3,354.87 ",3
43125,OH,19,FL33025,979,"$1,252.95 ",3
54942,WI,17,KY41048,7411,"$1,791.06 ",3
54942,WI,2,KY41048,4270,$725.04 ,3
78501,TX,26,TX78521,4085,$451.16 ,3
41048,KY,45,IN46738,1084,$318.54 ,3
41048,KY,17,LA71111,1529,$540.96 ,3
41048,KY,36,IN46738,634,$312.00 ,3
